workerid,condition,response,candidate,probability
1973,spr-event,86,harris,0.9347826086956522
1973,spr-event,0,other,0
2959,cloze-event,42,harris,0.35294117647058826
2959,cloze-event,77,trump,0.6470588235294118
2959,cloze-event,0,other,0
1432,cloze-event,38,harris,0.35185185185185186
1432,cloze-event,70,trump,0.6481481481481481
1432,cloze-event,0,other,0
2936,cloze-event,81,harris,0.6428571428571429
2936,cloze-event,40,trump,0.31746031746031744
2936,cloze-event,5,other,0.03968253968253968
2182,event-spr,99,trump,0.9611650485436893
2182,event-spr,3,harris,0.02912621359223301
2182,event-spr,1,other,0.009708737864077669
2568,cloze-event,57,harris,0.6129032258064516
2568,cloze-event,36,trump,0.3870967741935484
2568,cloze-event,0,other,0
1725,cloze-event,76,harris,0.5846153846153846
1725,cloze-event,49,trump,0.3769230769230769
1725,cloze-event,5,other,0.038461538461538464
1889,cloze-event,100,harris,1
1889,cloze-event,0,trump,0
1889,cloze-event,0,other,0
2376,event-spr,61,trump,0.6039603960396039
2376,event-spr,40,harris,0.39603960396039606
2376,event-spr,0,other,0
2559,maze-event,18,harris,0.17475728155339806
2559,maze-event,85,trump,0.8252427184466019
2559,maze-event,0,other,0
1442,spr-event,46,trump,0.44660194174757284
1442,spr-event,57,harris,0.5533980582524272
1442,spr-event,0,other,0
1923,event-cloze,55,trump,0.5555555555555556
1923,event-cloze,44,harris,0.4444444444444444
1923,event-cloze,0,other,0
2267,spr-event,25,harris,0.25
2267,spr-event,75,trump,0.75
2267,spr-event,0,other,0
1398,spr-event,45,trump,0.4326923076923077
1398,spr-event,59,harris,0.5673076923076923
1398,spr-event,0,other,0
1602,spr-event,97,harris,0.941747572815534
1602,spr-event,6,trump,0.05825242718446602
1602,spr-event,0,other,0
1650,cloze-event,95,harris,0.9047619047619048
1650,cloze-event,9,trump,0.08571428571428572
1650,cloze-event,1,other,0.009523809523809525
1580,spr-event,89,trump,0.8557692307692307
1580,spr-event,12,harris,0.11538461538461539
1580,spr-event,3,other,0.028846153846153848
1471,event-spr,63,harris,0.6237623762376238
1471,event-spr,38,trump,0.37623762376237624
1471,event-spr,0,other,0
2241,event-spr,100,harris,1
2241,event-spr,0,trump,0
2241,event-spr,0,other,0
1737,cloze-event,50,harris,0.5
1737,cloze-event,50,trump,0.5
1737,cloze-event,0,other,0
2066,cloze-event,34,harris,0.2982456140350877
2066,cloze-event,51,trump,0.4473684210526316
2066,cloze-event,29,other,0.2543859649122807
2135,cloze-event,78,trump,0.78
2135,cloze-event,20,harris,0.2
2135,cloze-event,2,other,0.02
1487,cloze-event,94,harris,0.9215686274509803
1487,cloze-event,8,trump,0.0784313725490196
1487,cloze-event,0,other,0
1510,spr-event,48,harris,0.5
1510,spr-event,48,trump,0.5
1510,spr-event,0,other,0
2978,event-cloze,26,harris,0.25742574257425743
2978,event-cloze,75,trump,0.7425742574257426
2978,event-cloze,0,other,0
1821,cloze-event,64,harris,0.6037735849056604
1821,cloze-event,41,trump,0.3867924528301887
1821,cloze-event,1,other,0.009433962264150943
2650,maze-event,62,trump,0.5486725663716814
2650,maze-event,41,harris,0.36283185840707965
2650,maze-event,10,other,0.08849557522123894
1829,event-maze,49,trump,0.48514851485148514
1829,event-maze,52,harris,0.5148514851485149
1829,event-maze,0,other,0
2584,event-spr,46,trump,0.46464646464646464
2584,event-spr,50,harris,0.5050505050505051
2584,event-spr,3,other,0.030303030303030304
2572,maze-event,0,harris,0
2572,maze-event,100,trump,1
2572,maze-event,0,other,0
2431,spr-event,85,harris,0.5944055944055944
